"check","status","value","threshold","detail","model","label"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","reference","Diagnostic model"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","reference","Diagnostic model"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","reference","Diagnostic model"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","peel-1","Peel 1"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","peel-1","Peel 1"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","peel-1","Peel 1"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","peel-2","Peel 2"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","peel-2","Peel 2"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","peel-2","Peel 2"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","peel-3","Peel 3"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","peel-3","Peel 3"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","peel-3","Peel 3"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","peel-4","Peel 4"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","peel-4","Peel 4"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","peel-4","Peel 4"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","peel-5","Peel 5"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","peel-5","Peel 5"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","peel-5","Peel 5"
