"year","depletion","model"
1954,0.996924372976471,"Reference"
1955,0.990303179134773,"Reference"
1956,0.98577877597364,"Reference"
1957,0.981351051989542,"Reference"
1958,0.975966306500481,"Reference"
1959,0.963809756330066,"Reference"
1960,0.952578512252473,"Reference"
1961,0.938049623907154,"Reference"
1962,0.918065916838279,"Reference"
1963,0.890716233700074,"Reference"
1964,0.869284990523822,"Reference"
1965,0.866904146316212,"Reference"
1966,0.855425669898783,"Reference"
1967,0.825296462117441,"Reference"
1968,0.784718961456113,"Reference"
1969,0.759421515631149,"Reference"
1970,0.743563632106971,"Reference"
1971,0.713645237484005,"Reference"
1972,0.681388131623728,"Reference"
1973,0.642418370662253,"Reference"
1974,0.607520145002937,"Reference"
1975,0.614840142864902,"Reference"
1976,0.669404101074095,"Reference"
1977,0.711265221476001,"Reference"
1978,0.715608032782309,"Reference"
1979,0.700778628650069,"Reference"
1980,0.676310909073571,"Reference"
1981,0.640354100690459,"Reference"
1982,0.627799886902226,"Reference"
1983,0.652548326614445,"Reference"
1984,0.68080553638533,"Reference"
1985,0.695693093863639,"Reference"
1986,0.689954199675352,"Reference"
1987,0.679336599147198,"Reference"
1988,0.661976239111717,"Reference"
1989,0.635508438463113,"Reference"
1990,0.636818710475566,"Reference"
1991,0.635235146962726,"Reference"
1992,0.634430177960873,"Reference"
1993,0.638900215957631,"Reference"
1994,0.637781286947313,"Reference"
1995,0.646370734761608,"Reference"
1996,0.652231990661402,"Reference"
1997,0.663380488880837,"Reference"
1998,0.653840251969026,"Reference"
1999,0.648278791508346,"Reference"
2000,0.63241854429045,"Reference"
2001,0.60040970885715,"Reference"
2002,0.565252312736127,"Reference"
2003,0.535221725999121,"Reference"
2004,0.525538115510552,"Reference"
2005,0.542006512071403,"Reference"
2006,0.547146256989939,"Reference"
2007,0.536827121823333,"Reference"
2008,0.524304353587817,"Reference"
2009,0.511153752978661,"Reference"
2010,0.501882761649498,"Reference"
2011,0.50640987102095,"Reference"
