"value","component","delta"
0.5,"Age at length",5
0.517647058823529,"Age at length",4.31903114186851
0.535294117647059,"Age at length",3.6878892733564
0.552941176470588,"Age at length",3.10657439446367
0.570588235294118,"Age at length",2.57508650519031
0.588235294117647,"Age at length",2.09342560553633
0.605882352941177,"Age at length",1.66159169550173
0.623529411764706,"Age at length",1.27958477508651
0.641176470588235,"Age at length",0.947404844290656
0.658823529411765,"Age at length",0.665051903114187
0.676470588235294,"Age at length",0.432525951557093
0.694117647058824,"Age at length",0.249826989619377
0.711764705882353,"Age at length",0.116955017301038
0.729411764705882,"Age at length",0.0339100346020759
0.747058823529412,"Age at length",0.000692041522491344
0.764705882352941,"Age at length",0.0173010380622839
0.782352941176471,"Age at length",0.0837370242214538
0.8,"Age at length",0.2
0.817647058823529,"Age at length",0.366089965397924
0.835294117647059,"Age at length",0.582006920415227
0.852941176470588,"Age at length",0.847750865051904
0.870588235294118,"Age at length",1.16332179930796
0.888235294117647,"Age at length",1.52871972318339
0.905882352941177,"Age at length",1.9439446366782
0.923529411764706,"Age at length",2.40899653979239
0.941176470588235,"Age at length",2.92387543252595
0.958823529411765,"Age at length",3.4885813148789
0.976470588235294,"Age at length",4.10311418685121
0.994117647058824,"Age at length",4.76747404844291
1.01176470588235,"Age at length",5.48166089965398
1.02941176470588,"Age at length",6.24567474048443
1.04705882352941,"Age at length",7.05951557093426
1.06470588235294,"Age at length",7.92318339100347
1.08235294117647,"Age at length",8.83667820069205
1.1,"Age at length",9.80000000000001
