"value","component","delta"
0.5,"Index",7.84
0.517647058823529,"Index",6.88290657439446
0.535294117647059,"Index",5.98809688581315
0.552941176470588,"Index",5.15557093425605
0.570588235294118,"Index",4.38532871972319
0.588235294117647,"Index",3.67737024221453
0.605882352941177,"Index",3.0316955017301
0.623529411764706,"Index",2.4483044982699
0.641176470588235,"Index",1.92719723183391
0.658823529411765,"Index",1.46837370242215
0.676470588235294,"Index",1.0718339100346
0.694117647058824,"Index",0.737577854671281
0.711764705882353,"Index",0.46560553633218
0.729411764705882,"Index",0.255916955017301
0.747058823529412,"Index",0.108512110726644
0.764705882352941,"Index",0.0233910034602075
0.782352941176471,"Index",0.000553633217993117
0.8,"Index",0.0400000000000001
0.817647058823529,"Index",0.141730103806228
0.835294117647059,"Index",0.305743944636679
0.852941176470588,"Index",0.53204152249135
0.870588235294118,"Index",0.820622837370242
0.888235294117647,"Index",1.17148788927336
0.905882352941177,"Index",1.58463667820069
0.923529411764706,"Index",2.06006920415225
0.941176470588235,"Index",2.59778546712803
0.958823529411765,"Index",3.19778546712803
0.976470588235294,"Index",3.86006920415225
0.994117647058824,"Index",4.58463667820069
1.01176470588235,"Index",5.37148788927335
1.02941176470588,"Index",6.22062283737025
1.04705882352941,"Index",7.13204152249135
1.06470588235294,"Index",8.10574394463669
1.08235294117647,"Index",9.14173010380624
1.1,"Index",10.24
