"value","component","delta"
0.5,"Length",5.78
0.517647058823529,"Length",5.19557093425605
0.535294117647059,"Length",4.64228373702422
0.552941176470588,"Length",4.1201384083045
0.570588235294118,"Length",3.62913494809689
0.588235294117647,"Length",3.16927335640138
0.605882352941177,"Length",2.74055363321799
0.623529411764706,"Length",2.34297577854671
0.641176470588235,"Length",1.97653979238754
0.658823529411765,"Length",1.64124567474048
0.676470588235294,"Length",1.33709342560554
0.694117647058824,"Length",1.0640830449827
0.711764705882353,"Length",0.822214532871972
0.729411764705882,"Length",0.611487889273355
0.747058823529412,"Length",0.431903114186851
0.764705882352941,"Length",0.283460207612456
0.782352941176471,"Length",0.166159169550172
0.8,"Length",0.0799999999999997
0.817647058823529,"Length",0.0249826989619377
0.835294117647059,"Length",0.00110726643598608
0.852941176470588,"Length",0.00837370242214547
0.870588235294118,"Length",0.0467820069204154
0.888235294117647,"Length",0.116332179930796
0.905882352941177,"Length",0.217024221453288
0.923529411764706,"Length",0.34885813148789
0.941176470588235,"Length",0.511833910034603
0.958823529411765,"Length",0.705951557093428
0.976470588235294,"Length",0.931211072664361
0.994117647058824,"Length",1.18761245674741
1.01176470588235,"Length",1.47515570934256
1.02941176470588,"Length",1.79384083044983
1.04705882352941,"Length",2.14366782006921
1.06470588235294,"Length",2.5246366782007
1.08235294117647,"Length",2.9367474048443
1.1,"Length",3.38
