"value","component","delta"
0.5,"Index",7.84
0.517647058823529,"Index",6.88290657439446
0.535294117647059,"Index",5.98809688581315
0.552941176470588,"Index",5.15557093425605
0.570588235294118,"Index",4.38532871972319
0.588235294117647,"Index",3.67737024221453
0.605882352941177,"Index",3.0316955017301
0.623529411764706,"Index",2.4483044982699
0.641176470588235,"Index",1.92719723183391
0.658823529411765,"Index",1.46837370242215
0.676470588235294,"Index",1.0718339100346
0.694117647058824,"Index",0.737577854671281
0.711764705882353,"Index",0.46560553633218
0.729411764705882,"Index",0.255916955017301
0.747058823529412,"Index",0.108512110726644
0.764705882352941,"Index",0.0233910034602075
0.782352941176471,"Index",0.000553633217993117
0.8,"Index",0.0400000000000001
0.817647058823529,"Index",0.141730103806228
0.835294117647059,"Index",0.305743944636679
0.852941176470588,"Index",0.53204152249135
0.870588235294118,"Index",0.820622837370242
0.888235294117647,"Index",1.17148788927336
0.905882352941177,"Index",1.58463667820069
0.923529411764706,"Index",2.06006920415225
0.941176470588235,"Index",2.59778546712803
0.958823529411765,"Index",3.19778546712803
0.976470588235294,"Index",3.86006920415225
0.994117647058824,"Index",4.58463667820069
1.01176470588235,"Index",5.37148788927335
1.02941176470588,"Index",6.22062283737025
1.04705882352941,"Index",7.13204152249135
1.06470588235294,"Index",8.10574394463669
1.08235294117647,"Index",9.14173010380624
1.1,"Index",10.24
0.5,"Length",5.78
0.517647058823529,"Length",5.19557093425605
0.535294117647059,"Length",4.64228373702422
0.552941176470588,"Length",4.1201384083045
0.570588235294118,"Length",3.62913494809689
0.588235294117647,"Length",3.16927335640138
0.605882352941177,"Length",2.74055363321799
0.623529411764706,"Length",2.34297577854671
0.641176470588235,"Length",1.97653979238754
0.658823529411765,"Length",1.64124567474048
0.676470588235294,"Length",1.33709342560554
0.694117647058824,"Length",1.0640830449827
0.711764705882353,"Length",0.822214532871972
0.729411764705882,"Length",0.611487889273355
0.747058823529412,"Length",0.431903114186851
0.764705882352941,"Length",0.283460207612456
0.782352941176471,"Length",0.166159169550172
0.8,"Length",0.0799999999999997
0.817647058823529,"Length",0.0249826989619377
0.835294117647059,"Length",0.00110726643598608
0.852941176470588,"Length",0.00837370242214547
0.870588235294118,"Length",0.0467820069204154
0.888235294117647,"Length",0.116332179930796
0.905882352941177,"Length",0.217024221453288
0.923529411764706,"Length",0.34885813148789
0.941176470588235,"Length",0.511833910034603
0.958823529411765,"Length",0.705951557093428
0.976470588235294,"Length",0.931211072664361
0.994117647058824,"Length",1.18761245674741
1.01176470588235,"Length",1.47515570934256
1.02941176470588,"Length",1.79384083044983
1.04705882352941,"Length",2.14366782006921
1.06470588235294,"Length",2.5246366782007
1.08235294117647,"Length",2.9367474048443
1.1,"Length",3.38
0.5,"Age at length",5
0.517647058823529,"Age at length",4.31903114186851
0.535294117647059,"Age at length",3.6878892733564
0.552941176470588,"Age at length",3.10657439446367
0.570588235294118,"Age at length",2.57508650519031
0.588235294117647,"Age at length",2.09342560553633
0.605882352941177,"Age at length",1.66159169550173
0.623529411764706,"Age at length",1.27958477508651
0.641176470588235,"Age at length",0.947404844290656
0.658823529411765,"Age at length",0.665051903114187
0.676470588235294,"Age at length",0.432525951557093
0.694117647058824,"Age at length",0.249826989619377
0.711764705882353,"Age at length",0.116955017301038
0.729411764705882,"Age at length",0.0339100346020759
0.747058823529412,"Age at length",0.000692041522491344
0.764705882352941,"Age at length",0.0173010380622839
0.782352941176471,"Age at length",0.0837370242214538
0.8,"Age at length",0.2
0.817647058823529,"Age at length",0.366089965397924
0.835294117647059,"Age at length",0.582006920415227
0.852941176470588,"Age at length",0.847750865051904
0.870588235294118,"Age at length",1.16332179930796
0.888235294117647,"Age at length",1.52871972318339
0.905882352941177,"Age at length",1.9439446366782
0.923529411764706,"Age at length",2.40899653979239
0.941176470588235,"Age at length",2.92387543252595
0.958823529411765,"Age at length",3.4885813148789
0.976470588235294,"Age at length",4.10311418685121
0.994117647058824,"Age at length",4.76747404844291
1.01176470588235,"Age at length",5.48166089965398
1.02941176470588,"Age at length",6.24567474048443
1.04705882352941,"Age at length",7.05951557093426
1.06470588235294,"Age at length",7.92318339100347
1.08235294117647,"Age at length",8.83667820069205
1.1,"Age at length",9.80000000000001
