"time","group","facet","metric","value","unit","definition","label","axis"
2001,"A","all","dynamic_spawning_depletion",0.88,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2002,"A","all","dynamic_spawning_depletion",0.858272722584933,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2003,"A","all","dynamic_spawning_depletion",0.837081893560628,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2004,"A","all","dynamic_spawning_depletion",0.816414267969127,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2005,"A","all","dynamic_spawning_depletion",0.796256927871644,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2006,"A","all","dynamic_spawning_depletion",0.776597274274444,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2007,"A","all","dynamic_spawning_depletion",0.757423019254051,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2008,"A","all","dynamic_spawning_depletion",0.738722178276903,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2009,"A","all","dynamic_spawning_depletion",0.720483062708624,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2010,"A","all","dynamic_spawning_depletion",0.702694272508252,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2011,"A","all","dynamic_spawning_depletion",0.685344689102836,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2012,"A","all","dynamic_spawning_depletion",0.668423468437972,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2013,"A","all","dynamic_spawning_depletion",0.651920034199912,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2014,"A","all","dynamic_spawning_depletion",0.635824071205024,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2015,"A","all","dynamic_spawning_depletion",0.620125518952468,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2016,"A","all","dynamic_spawning_depletion",0.604814565336056,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2017,"A","all","dynamic_spawning_depletion",0.589881640511363,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2018,"A","all","dynamic_spawning_depletion",0.575317410914266,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2019,"A","all","dynamic_spawning_depletion",0.561112773427161,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2020,"A","all","dynamic_spawning_depletion",0.547258849689218,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2001,"B","all","dynamic_spawning_depletion",0.96,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2002,"B","all","dynamic_spawning_depletion",0.936297515547199,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2003,"B","all","dynamic_spawning_depletion",0.913180247520685,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2004,"B","all","dynamic_spawning_depletion",0.890633746875411,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2005,"B","all","dynamic_spawning_depletion",0.868643921314521,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2006,"B","all","dynamic_spawning_depletion",0.847197026481212,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2007,"B","all","dynamic_spawning_depletion",0.826279657368056,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2008,"B","all","dynamic_spawning_depletion",0.805878739938439,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2009,"B","all","dynamic_spawning_depletion",0.785981522954863,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2010,"B","all","dynamic_spawning_depletion",0.766575570009002,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2011,"B","all","dynamic_spawning_depletion",0.747648751748549,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2012,"B","all","dynamic_spawning_depletion",0.72918923829597,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2013,"B","all","dynamic_spawning_depletion",0.711185491854449,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2014,"B","all","dynamic_spawning_depletion",0.693626259496389,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2015,"B","all","dynamic_spawning_depletion",0.676500566129965,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2016,"B","all","dynamic_spawning_depletion",0.659797707639333,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2017,"B","all","dynamic_spawning_depletion",0.643507244194214,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2018,"B","all","dynamic_spawning_depletion",0.627618993724653,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2019,"B","all","dynamic_spawning_depletion",0.612123025556902,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2020,"B","all","dynamic_spawning_depletion",0.597009654206419,"ratio","Illustrative dynamic_spawning_depletion","Dynamic spawning depletion","steepness"
2001,"A","all","spawning_biomass",1760000,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2002,"A","all","spawning_biomass",1716545.44516987,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2003,"A","all","spawning_biomass",1674163.78712126,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2004,"A","all","spawning_biomass",1632828.53593825,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2005,"A","all","spawning_biomass",1592513.85574329,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2006,"A","all","spawning_biomass",1553194.54854889,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2007,"A","all","spawning_biomass",1514846.0385081,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2008,"A","all","spawning_biomass",1477444.35655381,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2009,"A","all","spawning_biomass",1440966.12541725,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2010,"A","all","spawning_biomass",1405388.5450165,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2011,"A","all","spawning_biomass",1370689.37820567,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2012,"A","all","spawning_biomass",1336846.93687594,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2013,"A","all","spawning_biomass",1303840.06839982,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2014,"A","all","spawning_biomass",1271648.14241005,"t","Illustrative spawning_biomass","Spawning potential","steepness"
2015,"A","all","spawning_biomass",1240251.03790494,"t","Illustrative spawning_biomass","Spawning potential","steepness"
