"check","status","value","threshold","detail","model","label"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","initial","Initial"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","initial","Initial"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","initial","Initial"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","data-update","Data update"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","data-update","Data update"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","data-update","Data update"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","biology-update","Biology update"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","biology-update","Biology update"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","biology-update","Biology update"
"optimization","passed",0,0,"Optimizer termination code; evaluate model adequacy separately","reference","Reference"
"maximum_gradient","passed",5e-05,1e-04,"Maximum absolute gradient on the fitted parameter scale","reference","Reference"
"catch_conditioning","passed",1.05409399620005e-06,0.001,"Maximum relative error of positive conditioned catches","reference","Reference"
