"time","metric","value","unit","group","definition","display_name","model","label","facet"
1954,"recruitment",155070000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1955,"recruitment",155070000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1956,"recruitment",151160000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1957,"recruitment",92760000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1958,"recruitment",116650000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1959,"recruitment",45436000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1960,"recruitment",26009000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1961,"recruitment",74780000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1962,"recruitment",108360000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1963,"recruitment",139810000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1964,"recruitment",53201000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1965,"recruitment",15275000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1966,"recruitment",65390000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1967,"recruitment",50477000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1968,"recruitment",55260000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1969,"recruitment",46644000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1970,"recruitment",36594000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1971,"recruitment",38829000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1972,"recruitment",39770000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1973,"recruitment",69460000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1974,"recruitment",114640000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1975,"recruitment",55900000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1976,"recruitment",30197000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1977,"recruitment",29831000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1978,"recruitment",35886000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1979,"recruitment",47584000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1980,"recruitment",68170000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1981,"recruitment",56160000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1982,"recruitment",45862000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1983,"recruitment",51149000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1984,"recruitment",62080000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1985,"recruitment",30173000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1986,"recruitment",50527000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1987,"recruitment",58440000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1988,"recruitment",69230000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1989,"recruitment",80120000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1990,"recruitment",39659000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1991,"recruitment",81480000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1992,"recruitment",57730000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1993,"recruitment",64030000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1994,"recruitment",79360000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1995,"recruitment",89200000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1996,"recruitment",52432000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1997,"recruitment",55215000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1998,"recruitment",34849000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
1999,"recruitment",117710000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2000,"recruitment",29757000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2001,"recruitment",93920000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2002,"recruitment",108380000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2003,"recruitment",98380000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2004,"recruitment",53055000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2005,"recruitment",60650000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2006,"recruitment",85950000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2007,"recruitment",120020000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2008,"recruitment",69340000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2009,"recruitment",88880000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2010,"recruitment",108150000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2011,"recruitment",111340000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2012,"recruitment",70780000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2013,"recruitment",71030000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
2014,"recruitment",93320000,"fish","Native MFCL / INI 1003","MFCL report census recruitment",,"native-1003","recruitment","all"
