"series","fishery","region","fishery_name","series_label"
"F18_R1_G18",18,"Region 1","18.L.INDEX.1abcd","18.L.INDEX.1abcd (F18_R1_G18)"
"F19_R1_G19",19,"Region 1","19.TR.INDEX.1ef","19.TR.INDEX.1ef (F19_R1_G19)"
"F20_R2_G20",20,"Region 2","20.L.INDEX.2abc","20.L.INDEX.2abc (F20_R2_G20)"
"F1_R1",1,"Region 1","1.LL.DWFN.1a","1.LL.DWFN.1a"
"F2_R1",2,"Region 1","2.LL.DWFN.1b","2.LL.DWFN.1b"
"F3_R1",3,"Region 1","3.LL.DWFN.1c","3.LL.DWFN.1c"
"F4_R1",4,"Region 1","4.LL.DWFN.1d","4.LL.DWFN.1d"
"F5_R1",5,"Region 1","5.LL.PICT.1ab","5.LL.PICT.1ab"
"F6_R1",6,"Region 1","6.LL.PICT.1ab","6.LL.PICT.1ab"
"F7_R1",7,"Region 1","7.LL.AZ.1ab","7.LL.AZ.1ab"
"F8_R1",8,"Region 1","8.LL.DWFN.1cd","8.LL.DWFN.1cd"
"F9_R1",9,"Region 1","9.LL.PICT.1cd","9.LL.PICT.1cd"
"F10_R1",10,"Region 1","10.LL.AZ.1cd","10.LL.AZ.1cd"
"F11_R1",11,"Region 1","11.TR.ALL1c","11.TR.ALL1c"
"F12_R1",12,"Region 1","12.TR.All.1d","12.TR.All.1d"
"F13_R1",13,"Region 1","13.DN.All.1cd","13.DN.All.1cd"
"F14_R2",14,"Region 2","14.LL.EPO.2a","14.LL.EPO.2a"
"F15_R2",15,"Region 2","15.LL.EPO.2b","15.LL.EPO.2b"
"F16_R2",16,"Region 2","16.LL.EPO.2c","16.LL.EPO.2c"
"F17_R2",17,"Region 2","17.TR.EPO.2abc","17.TR.EPO.2abc"
"F18_R1",18,"Region 1","18.L.INDEX.1abcd","18.L.INDEX.1abcd (F18_R1)"
"F19_R1",19,"Region 1","19.TR.INDEX.1ef","19.TR.INDEX.1ef (F19_R1)"
"F20_R2",20,"Region 2","20.L.INDEX.2abc","20.L.INDEX.2abc (F20_R2)"
