"series","fishery","region"
"F18_R1_G18",18,"Region 1"
"F19_R1_G19",19,"Region 1"
"F20_R2_G20",20,"Region 2"
"F1_R1",1,"Region 1"
"F2_R1",2,"Region 1"
"F3_R1",3,"Region 1"
"F4_R1",4,"Region 1"
"F5_R1",5,"Region 1"
"F6_R1",6,"Region 1"
"F7_R1",7,"Region 1"
"F8_R1",8,"Region 1"
"F9_R1",9,"Region 1"
"F10_R1",10,"Region 1"
"F11_R1",11,"Region 1"
"F12_R1",12,"Region 1"
"F13_R1",13,"Region 1"
"F14_R2",14,"Region 2"
"F15_R2",15,"Region 2"
"F16_R2",16,"Region 2"
"F17_R2",17,"Region 2"
"F18_R1",18,"Region 1"
"F19_R1",19,"Region 1"
"F20_R2",20,"Region 2"
