"time","group","facet","metric","value","unit","definition"
2001,"A","all","dynamic_spawning_depletion",0.88,"ratio","Illustrative dynamic_spawning_depletion"
2002,"A","all","dynamic_spawning_depletion",0.858272722584933,"ratio","Illustrative dynamic_spawning_depletion"
2003,"A","all","dynamic_spawning_depletion",0.837081893560628,"ratio","Illustrative dynamic_spawning_depletion"
2004,"A","all","dynamic_spawning_depletion",0.816414267969127,"ratio","Illustrative dynamic_spawning_depletion"
2005,"A","all","dynamic_spawning_depletion",0.796256927871644,"ratio","Illustrative dynamic_spawning_depletion"
2006,"A","all","dynamic_spawning_depletion",0.776597274274444,"ratio","Illustrative dynamic_spawning_depletion"
2007,"A","all","dynamic_spawning_depletion",0.757423019254051,"ratio","Illustrative dynamic_spawning_depletion"
2008,"A","all","dynamic_spawning_depletion",0.738722178276903,"ratio","Illustrative dynamic_spawning_depletion"
2009,"A","all","dynamic_spawning_depletion",0.720483062708624,"ratio","Illustrative dynamic_spawning_depletion"
2010,"A","all","dynamic_spawning_depletion",0.702694272508252,"ratio","Illustrative dynamic_spawning_depletion"
2011,"A","all","dynamic_spawning_depletion",0.685344689102836,"ratio","Illustrative dynamic_spawning_depletion"
2012,"A","all","dynamic_spawning_depletion",0.668423468437972,"ratio","Illustrative dynamic_spawning_depletion"
2013,"A","all","dynamic_spawning_depletion",0.651920034199912,"ratio","Illustrative dynamic_spawning_depletion"
2014,"A","all","dynamic_spawning_depletion",0.635824071205024,"ratio","Illustrative dynamic_spawning_depletion"
2015,"A","all","dynamic_spawning_depletion",0.620125518952468,"ratio","Illustrative dynamic_spawning_depletion"
2016,"A","all","dynamic_spawning_depletion",0.604814565336056,"ratio","Illustrative dynamic_spawning_depletion"
2017,"A","all","dynamic_spawning_depletion",0.589881640511363,"ratio","Illustrative dynamic_spawning_depletion"
2018,"A","all","dynamic_spawning_depletion",0.575317410914266,"ratio","Illustrative dynamic_spawning_depletion"
2019,"A","all","dynamic_spawning_depletion",0.561112773427161,"ratio","Illustrative dynamic_spawning_depletion"
2020,"A","all","dynamic_spawning_depletion",0.547258849689218,"ratio","Illustrative dynamic_spawning_depletion"
2001,"B","all","dynamic_spawning_depletion",0.96,"ratio","Illustrative dynamic_spawning_depletion"
2002,"B","all","dynamic_spawning_depletion",0.936297515547199,"ratio","Illustrative dynamic_spawning_depletion"
2003,"B","all","dynamic_spawning_depletion",0.913180247520685,"ratio","Illustrative dynamic_spawning_depletion"
2004,"B","all","dynamic_spawning_depletion",0.890633746875411,"ratio","Illustrative dynamic_spawning_depletion"
2005,"B","all","dynamic_spawning_depletion",0.868643921314521,"ratio","Illustrative dynamic_spawning_depletion"
2006,"B","all","dynamic_spawning_depletion",0.847197026481212,"ratio","Illustrative dynamic_spawning_depletion"
2007,"B","all","dynamic_spawning_depletion",0.826279657368056,"ratio","Illustrative dynamic_spawning_depletion"
2008,"B","all","dynamic_spawning_depletion",0.805878739938439,"ratio","Illustrative dynamic_spawning_depletion"
2009,"B","all","dynamic_spawning_depletion",0.785981522954863,"ratio","Illustrative dynamic_spawning_depletion"
2010,"B","all","dynamic_spawning_depletion",0.766575570009002,"ratio","Illustrative dynamic_spawning_depletion"
2011,"B","all","dynamic_spawning_depletion",0.747648751748549,"ratio","Illustrative dynamic_spawning_depletion"
2012,"B","all","dynamic_spawning_depletion",0.72918923829597,"ratio","Illustrative dynamic_spawning_depletion"
2013,"B","all","dynamic_spawning_depletion",0.711185491854449,"ratio","Illustrative dynamic_spawning_depletion"
2014,"B","all","dynamic_spawning_depletion",0.693626259496389,"ratio","Illustrative dynamic_spawning_depletion"
2015,"B","all","dynamic_spawning_depletion",0.676500566129965,"ratio","Illustrative dynamic_spawning_depletion"
2016,"B","all","dynamic_spawning_depletion",0.659797707639333,"ratio","Illustrative dynamic_spawning_depletion"
2017,"B","all","dynamic_spawning_depletion",0.643507244194214,"ratio","Illustrative dynamic_spawning_depletion"
2018,"B","all","dynamic_spawning_depletion",0.627618993724653,"ratio","Illustrative dynamic_spawning_depletion"
2019,"B","all","dynamic_spawning_depletion",0.612123025556902,"ratio","Illustrative dynamic_spawning_depletion"
2020,"B","all","dynamic_spawning_depletion",0.597009654206419,"ratio","Illustrative dynamic_spawning_depletion"
