"time","metric","group","value","unit","definition","initial_state","display_name","coverage","model","label"
1954,"spawning_biomass","all",1180113.88767414,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",0.916666666666742,"initial","Initial"
1955,"spawning_biomass","all",1104984.45015576,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1956,"spawning_biomass","all",1086767.36340537,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1957,"spawning_biomass","all",1071680.29009207,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1958,"spawning_biomass","all",1051570.75515814,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1959,"spawning_biomass","all",1021386.79209974,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1960,"spawning_biomass","all",964469.276248087,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1961,"spawning_biomass","all",880553.330945947,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1962,"spawning_biomass","all",771678.279399825,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1963,"spawning_biomass","all",638207.053200859,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1964,"spawning_biomass","all",545404.375311416,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1965,"spawning_biomass","all",528965.609766161,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1966,"spawning_biomass","all",544333.233802693,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1967,"spawning_biomass","all",522163.128745939,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
1968,"spawning_biomass","all",444423.692371254,"t","Abundance weighted by the model reproductive coefficient and weight at age, on the MFCL biomass scale",,"Spawning potential",1,"initial","Initial"
